A2O_pre_1	A2O_pre_2	A2O_pre_3	A2O_A1_1	A2O_A1_2	A2O_A1_3	A2O_A2_1	A2O_A2_2	A2O_A2_3	A2O_O_1	A2O_O_2	A2O_O_3
43276	45236	42751	41226	45783	41193	44726	41537	42251	48584	47893	44100
0	0	0	0	0	0	0	0	0	0	0	0
5866003	5928054	5875402	6101796	6189399	5702088	6037161	5937571	6079417	5953611	5948717	5631662
6162534	5926297	5895873	6475135	6435778	6316638	6215227	6094839	5939059	6461072	6352835	6698071
45960	48719	51271	71247	76522	68288	68577	65358	59804	45914	50682	45233
184096	183393	177846	195655	197314	186748	178617	176699	182139	195648	194824	194043
1660665	1749635	1507755	1583101	1583444	1641661	1592785	1559702	1651994	1597844	1569458	1712258
168262	162998	158304	159019	158646	154538	165409	161913	144256	148098	146186	143659
625763	629755	630986	627015	654110	617570	652341	641117	623686	648779	651693	626016
2514006	2588091	2417919	2590345	2556707	2504926	2569074	2503592	2496711	2227588	2176223	2193466
466124	463368	434590	475044	468790	461070	443819	437826	449045	441145	434363	441797
524449	509920	484123	478410	477382	479241	488101	474667	472872	469654	458469	489544
164188	169806	165095	177470	179877	165022	169887	165982	162532	185506	181687	180883
109774	107209	102566	114998	109875	106047	102278	98156	104155	115426	111699	110403
0	0	0	0	0	0	0	0	0	0	0	0
371149	340713	333115	363118	357421	358128	337749	327912	331114	352868	335309	362328
58880	54277	51156	60553	58301	57633	53755	51195	54227	57824	54709	60344
96038	94652	90836	96638	98296	92138	91950	91039	95872	100614	98278	98438
967623	940534	906333	989091	990486	984466	949436	936006	948374	979453	965301	1023995
124364	135036	125376	140669	142197	132106	127328	125043	125387	133426	141225	128351
1047597	1016054	1024385	1095813	1089520	1062683	1091119	1085163	1101773	1116515	1098619	1107691
1473323	1403641	1367747	1521474	1501223	1449189	1385317	1340845	1333382	1480018	1452941	1527494
364658	378696	361741	393182	401216	368555	375800	366127	360139	394856	394264	387230
1351389	1296310	1273457	1270514	1252347	1223684	1293889	1263343	1227857	1081457	1053349	1119694
201849	204078	197217	203882	208118	196636	195292	194823	201836	214113	210836	202938
137092	133353	129063	138998	140123	133054	130175	123729	127963	145110	137513	141310
